filename,width,height,class,xmin,ymin,xmax,ymax
photo-1535674661169-5edcfb9ffb50.jpeg,500,333,opera house,20,87,463,241
photo-1538168407380-1d74b45cf8ad.jpeg,500,333,opera house,49,63,446,252
photo-1538189455562-18ee98e64ca8.jpeg,500,320,opera house,40,86,463,259
photo-1538240490920-a0feaadc9926.jpeg,500,333,opera house,14,5,499,271
photo-1538530343610-906a1df587c0.jpeg,500,333,opera house,136,125,301,231
photo-1539660526008-e187fe863464.jpeg,500,261,opera house,1,52,499,249
photo-1540448051910-09cfadd5df61.jpeg,500,333,opera house,5,7,497,210
photo-1549177676-c2fd7773ea9c.jpeg,500,333,opera house,8,81,285,246
photo-1549180030-48bf079fb38a.jpeg,500,889,opera house,88,344,500,611
photo-1549241163-1bdf00c9f8db.jpeg,500,300,opera house,153,107,486,245
photo-1549923015-22d03fbac451.jpeg,500,667,opera house,29,253,463,443
photo-1551034889-aa09b685b2fe.jpeg,500,333,opera house,111,120,295,193
photo-1552826768-0638caedbd75.jpeg,500,500,opera house,229,90,497,215
photo-1555029285-fe3b3f18108c.jpeg,500,750,opera house,8,304,500,643
photo-1555066553-678c2dffc1b7.jpeg,500,333,opera house,1,86,499,299
photo-1555918948-68a13073edc5.jpeg,500,333,opera house,102,120,249,178
photo-1556089309-389321ee92d9.jpeg,500,333,opera house,57,92,499,307
photo-1558297047-affab9e8e344.jpeg,500,750,opera house,116,333,500,571
Screen-Shot-2017-10-30-at-3.17.48-pm.png,882,529,opera house,7,31,875,405
shutterstock_90979145_1.jpg,563,396,opera house,1,21,553,268
SO.jpg,820,550,opera house,76,125,820,446
sydney-3680862_1920-685x368.jpg,685,368,opera house,35,32,664,281
Sydney-dusk.jpg,800,600,opera house,102,172,692,403
sydney-opera-house (1).jpg,550,367,opera house,189,172,462,273
Sydney-Opera-House-and-Harbour-Bridge-View-.jpg,1194,650,opera house,201,255,568,416
Sydney-Opera-House-Close-Up-Sydney-Australia.jpg,1000,744,opera house,56,190,979,603
sydney-opera-house-everest-cup-getty-images-hero_a-852x479.jpg,852,479,opera house,31,50,798,376
sydney-opera-house-GettyImages-163808917.jpg,480,360,opera house,87,4,476,176
Sydney-Opera-House-photo-by-Hamilton-Lund-AAR-CMP.jpg,630,310,opera house,83,66,605,288
Sydney-Opera-House.jpg,845,321,opera house,31,29,694,265
Sydney_Opera_House_Front_angle.jpg,750,501,opera house,126,190,700,458
tmg-article_default_mobile.jpg,480,325,eiffel tower,237,7,367,265
tour-eiffel.jpg,750,499,eiffel tower,307,2,461,369
uploads%2Fstory%2Fthumbnail%2F14412%2FSealwithsurprise.png%2F950x534.png,950,534,opera house,77,36,937,392
Vivid-Sydney.jpg,1082,720,opera house,82,113,999,478
yq-sydney-071019.jpg,780,520,opera house,64,2,583,252
